Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code
fuel-tank-nameplate-and-adapter-kits-14093-84, FUEL TANK NAMEPLATE AND ADAPTER KITS , FUEL TANK NAMEPLATE AND ADAPTER KITS Adapter Kit for P/N 61771-66TB 61741-93T $23.95 Fits Fat Bob fuel tanks (except '08-later Touring and Trike models). Adapter Kit for P/N 61814-55T 61840-94T $23.95 Fits Fat Bob fuel tanks (except '08-later Touring and Trike models). Gives your fairing that custom look. Multi-colored. Made in the U.S.A. 14093-84 Black Background. $39.95 Eagle decal fits '13-earlier FL FLH and FLHT fairings., Harley Davidson,  , , , Title, Default Title, , , , , 14093-84, ,,,,,33.96,39.95
go-light-17645-07, GO LIGHT  , These Screamin' Eagle products are 50-state street compliant for sale and use on all vehicles including those that are pollution-controlled. Complies with the requirements of 40 CFR Part 86 subparts E and F. Street legal and/or street compliant statements refer to product meeting 50-State emissions and noise standards in the United States. A. RAIL COLLECTION ENGINE COVERS Notice: The prices appearing in this catalog are the manufacturer's suggested retail prices. Actual retail prices may vary. Engine & Transmission Trim These black powder-coated engine covers are the perfect start in converting your powertrain to a striking wrinkle black look. Manufactured from Original Equipment components these covers are masked and painted on the factory production paint line to ensure a matching wrinkle black or texture black finish and a perfect fit. Complete the blacked-out look with matching primary covers rocker housings rocker covers cam covers and transmission covers (sold separately)., Harley Davidson,  , , , Title, Default Title, , , , , 17645-07, ,,,,,314.46,369.95
highlighted-products-17655-05, HIGHLIGHTED PRODUCTS  , SCREAMIN' EAGLE PERFORMANCE 1200cc Stage IV Kit -- Black......................................................................... 92500041 NEW Heavy Breather Air Cleaner Kit -- Black ................................................ 29400227A Street Cannon Slip-On Mufflers -- Jet Black ................................................. 64900209A Muffler End Caps -- Jet Black ....................................................................... 65100063 Slotted Exhaust Shields -- Satin Black ......................................................... 65400422 This slammed fat brat bike is trimmed in quintessential '70s style with red and gold flake paint that features an asymmetric low-rider-themed design. And with Chizeled Lo Handlebars and a rigid mount pan-style seat it's all about looks and hard-line attitude. SPORTSTER MODEL: XL1200X COLOR SHOP CUSTOM PAINT: Limited Resurgence Color Shop Limited Paint -- Resurgence ...................................................92200169EHK Chizeled Lo Handlebar -- Gloss Black ............................................................. 55800431 NEW Brass Collection Hand Grips..................................................................... 56100134 NEW Brass Collection Rider Footpegs ............................................................... 50500791 NEW Brass Collection Shifter Peg ..................................................................... 33600093 Brass Collection Derby Cover.................................................................... 25700517 NEW Brass Collection Timer Cover .................................................................... 25600059 Smooth Air Cleaner Cover ................................................................................. 29153-07 Wrinkle Black Rocker Box Cover (2) .................................................................. 17655-05 NEW Brass Collection Fuel Cap ........................................................................ 61100076 These Screamin' Eagle products are 50-state street compliant for sale and use on all vehicles including those that are pollution-controlled. Complies with the requirements of 40 CFR Part 86 subparts E and F. Street legal and/or street compliant statements refer to product meeting 50-State emissions and noise standards in the United States. A. RAIL COLLECTION ENGINE COVERS Notice: The prices appearing in this catalog are the manufacturer's suggested retail prices. Actual retail prices may vary. Engine & Transmission Trim These black powder-coated engine covers are the perfect start in converting your powertrain to a striking wrinkle black look. Manufactured from Original Equipment components these covers are masked and painted on the factory production paint line to ensure a matching wrinkle black or texture black finish and a perfect fit. Complete the blacked-out look with matching primary covers rocker housings rocker covers cam covers and transmission covers (sold separately)., Harley Davidson,  , , , Title, Default Title, , , , , 17655-05, ,,,,,314.46,369.95
dyna-17658-03, DYNA , DYNA AUDIO & GAUGES Speedo/Tach Cluster MPH. $299.95 Speedo/Tach Cluster km/h. $299.95 Speedo/Tach Cluster MPH/km/h. $299.95 Fuel Gauge. $99.95 Voltmeter. $99.95 Oil Pressure Gauges Keep an eye on your engine's vital signs. This Oil Pressure Gauge features a brilliant blue easy-to-read digital display that shines through a mirror-coated glass when the ignition is turned on. The readout is invisible when not in use. A photocell automatically adjusts the display's brightness to improve visibility in direct sunlight or to dim the display at night to avoid distraction. The display can be toggled between PSI and BAR pressure readings. Kit includes die-cast mounting bracket with gauge pressure sensor and wiring harness. Check your oil pressure at a glance with this oil-filled Pressure Gauge Kit specifically designed to look good fit right and perform properly on your Twin Cam-equipped motorcycle. The custom mounting brackets have been polished and chrome-plated to rigid Harley-Davidson standards and the gauge offers premium reliability. The kit includes all necessary hardware and mounting brackets for quick and clean installation., Harley Davidson,  , , , Title, Default Title, , , , , 17658-03, ,,,,,212.46,249.95
go-light-17707-11, GO LIGHT  , Notice: The prices appearing in this catalog are the manufacturer's suggested retail prices. Actual retail prices may vary. ENGINE TRIM These Screamin' Eagle products are 50-state street compliant for sale and use on all vehicles including those that are pollution-controlled. Complies with the requirements of 40 CFR Part 86 subparts E and F. Street legal and/or street compliant statements refer to product meeting 50-State emissions and noise standards in the United States. Engine Covers Twin Cam These engine covers are the perfect start in converting your powertrain to an elegant tuxedo black look. Manufactured from Original Equipment components to ensure a perfect fit these covers are masked and coated with temperature-resistant paint to ensure a long-lasting finish. Complete the look with matching primary covers rocker housings rocker covers cam covers and transmission covers (sold separately). 25700021A Primary Cover. $269.95 Fits '06-'17 Dyna models with mid-controls. 60876-11A Primary Cover. $269.95 Fits '07-'17 Softail models. Also fits '06-'17 FLD and Dyna models equipped with factory forward controls. Will not fit with Accessory Forward Controls. 60886-11A Primary Cover. $269.95 Fits '07-'15 Touring and Trike models (except FLHTCUL and FLHTKL). 25700438 Narrow Primary Cover. $269.95 Fits '07-'16 Touring and Trike models. Installation requires separate purchase of narrow derby cover derby cover gasket and primary gasket. Chrome is Original Equipment on '15-'16 FLHTCUL and FLHTKL and '16 Touring and Trike models. 17707-11 Rocker Box Cover. $74.95 Fits '99-'17 Dyna '00-'17 Softail and '99-'16 Touring and Trike models (2 required). 17709-11 Rocker Box Lower Housing. $74.95 Fits '99-'17 Dyna '00-'17 Softail and '99-'16 Touring and Trike models (2 required). 37198-11 Cam Cover. $139.95 Fits '01-'17 Dyna Softail and '01-'16 Touring and Trike models (except '01 EFI Touring). 37193-11 Transmission Side Cover. $74.95 Fits '06-'17 Dyna (except FXDLS) and '07-'17 Softail (except FLSS FLSTFBS FXCW FXCWC FXSB and FXSE) and '07-'16 Touring and Trike models. Does not fit models equipped with a hydraulic clutch. 25700180 Transmission Side Cover. $89.95 Fits '13-'16 Touring and Trike models equipped with hydraulic clutch. 37195-11 Transmission Top Cover. $74.95 Fits '06-'17 Dyna and '07-later Softail and '07-'16 Touring and Trike models. 25700020 Derby Cover. $39.95 Fits '06-'17 Dyna and '07-later Softail and '07-'15 Touring and Trike models (except FLHTCUL FLHTKL or '07-'15 Touring or Trike models equipped with Narrow-Profile Outer Primary Cover P/N 25700385 or 25700438). 25700477 Derby Cover. $44.95 Fits '16-later Touring and Trike and '15-later FLHTCUL and FLHTKL models. Also fits '07-later Touring and Trike models equipped with Narrow-Profile Outer Primary Cover P/N 25700385 or 25700438. 25600074 Timer Cover. $25.95 Fits '99-'17 Twin Cam-equipped models., Harley Davidson,  , , , Title, Default Title, , , , , 17707-11, ,,,,,229.46,269.95
go-light-17709-11, GO LIGHT  , Notice: The prices appearing in this catalog are the manufacturer's suggested retail prices. Actual retail prices may vary. ENGINE TRIM These Screamin' Eagle products are 50-state street compliant for sale and use on all vehicles including those that are pollution-controlled. Complies with the requirements of 40 CFR Part 86 subparts E and F. Street legal and/or street compliant statements refer to product meeting 50-State emissions and noise standards in the United States. Engine Covers Twin Cam These engine covers are the perfect start in converting your powertrain to an elegant tuxedo black look. Manufactured from Original Equipment components to ensure a perfect fit these covers are masked and coated with temperature-resistant paint to ensure a long-lasting finish. Complete the look with matching primary covers rocker housings rocker covers cam covers and transmission covers (sold separately). 25700021A Primary Cover. $269.95 Fits '06-'17 Dyna models with mid-controls. 60876-11A Primary Cover. $269.95 Fits '07-'17 Softail models. Also fits '06-'17 FLD and Dyna models equipped with factory forward controls. Will not fit with Accessory Forward Controls. 60886-11A Primary Cover. $269.95 Fits '07-'15 Touring and Trike models (except FLHTCUL and FLHTKL). 25700438 Narrow Primary Cover. $269.95 Fits '07-'16 Touring and Trike models. Installation requires separate purchase of narrow derby cover derby cover gasket and primary gasket. Chrome is Original Equipment on '15-'16 FLHTCUL and FLHTKL and '16 Touring and Trike models. 17707-11 Rocker Box Cover. $74.95 Fits '99-'17 Dyna '00-'17 Softail and '99-'16 Touring and Trike models (2 required). 17709-11 Rocker Box Lower Housing. $74.95 Fits '99-'17 Dyna '00-'17 Softail and '99-'16 Touring and Trike models (2 required). 37198-11 Cam Cover. $139.95 Fits '01-'17 Dyna Softail and '01-'16 Touring and Trike models (except '01 EFI Touring). 37193-11 Transmission Side Cover. $74.95 Fits '06-'17 Dyna (except FXDLS) and '07-'17 Softail (except FLSS FLSTFBS FXCW FXCWC FXSB and FXSE) and '07-'16 Touring and Trike models. Does not fit models equipped with a hydraulic clutch. 25700180 Transmission Side Cover. $89.95 Fits '13-'16 Touring and Trike models equipped with hydraulic clutch. 37195-11 Transmission Top Cover. $74.95 Fits '06-'17 Dyna and '07-later Softail and '07-'16 Touring and Trike models. 25700020 Derby Cover. $39.95 Fits '06-'17 Dyna and '07-later Softail and '07-'15 Touring and Trike models (except FLHTCUL FLHTKL or '07-'15 Touring or Trike models equipped with Narrow-Profile Outer Primary Cover P/N 25700385 or 25700438). 25700477 Derby Cover. $44.95 Fits '16-later Touring and Trike and '15-later FLHTCUL and FLHTKL models. Also fits '07-later Touring and Trike models equipped with Narrow-Profile Outer Primary Cover P/N 25700385 or 25700438. 25600074 Timer Cover. $25.95 Fits '99-'17 Twin Cam-equipped models., Harley Davidson,  , , , Title, Default Title, , , , , 17709-11, ,,,,,229.46,269.95
sportster-touring-17964-99, SPORTSTER TOURING , DYNA ENGINE TRIM Engine Covers Twin Cam Dress the engine of your Twin Cam-equipped model in chrome. These chrome-plated components are manufactured to Original Equipment specifications for exact fit and finish. Outer Primary Covers 60764-06A $349.95 Fits '06-'17 Dyna models with mid-controls. 60782-06A $349.95 Fits '06-'17 Dyna models with forward controls and '07-'17 Softail models. 60553-07A $349.95 Fits '07-'15 Touring and Trike models (except FLHTKL and FLHTCUL). 25700385 Narrow-Profile. $349.95 Fits '07-'16 Touring and Trike models. Installation requires separate purchase of narrow derby cover derby cover gasket and primary gasket. Chrome is Original Equipment on '15-'16 FLHTCUL and FLHTKL and '16 Touring and Trike models. 60543-99B $349.95 Fits '99-'05 Dyna and '99-'06 Softail models. 60665-99B $349.95 Fits '99-'06 Touring models. Fits '94-'98 Touring models when used with Clutch Cover P/N 60668-99 and Gasket P/N 25416-99C. Cam Covers 25369-01B $174.95 Fits '01-'17 Dyna Softail and '01-'16 Touring and Trike models. (except '01 EFI Touring). 25247-99 $174.95 Fits '99-'00 Dyna '00 Softail '99-'00 Touring and '01 EFI Touring models. Transmission Side Covers 37116-06 $129.95 Fits '06-'17 Dyna (except FXDLS) and '07-'17 Softail (except FLSS FLSTFBS FXCW FXCWC FXSB and FXSE) and '07-'16 Touring and Trike models. Does not fit models equipped with a hydraulic clutch. 37105-99 $227.95 Fits '99-'05 Dyna '00-'06 Softail and '99-'06 Touring models. Transmission Top Covers 34469-06B $149.95 Fits '06-'17 Dyna '07-'17 Softail and '07-'16 Touring and Trike models. 34469-01 Fits '01-'05 Dyna models. $149.95 34469-99B Fits '99-'00 Dyna models. $229.95 34541-00 $229.95 Fits '00-'06 Softail and '01-'06 Touring models. Rocker and Tappet Covers Fits '99-'17 Dyna '00-'17 Softail and '99-'16 Touring and Trike models., Harley Davidson,  , , , Title, Default Title, , , , , 17964-99, ,,,,,97.71,114.95
sportster-touring-17966-99, SPORTSTER TOURING , DYNA ENGINE TRIM Engine Covers Twin Cam Dress the engine of your Twin Cam-equipped model in chrome. These chrome-plated components are manufactured to Original Equipment specifications for exact fit and finish. Outer Primary Covers 60764-06A $349.95 Fits '06-'17 Dyna models with mid-controls. 60782-06A $349.95 Fits '06-'17 Dyna models with forward controls and '07-'17 Softail models. 60553-07A $349.95 Fits '07-'15 Touring and Trike models (except FLHTKL and FLHTCUL). 25700385 Narrow-Profile. $349.95 Fits '07-'16 Touring and Trike models. Installation requires separate purchase of narrow derby cover derby cover gasket and primary gasket. Chrome is Original Equipment on '15-'16 FLHTCUL and FLHTKL and '16 Touring and Trike models. 60543-99B $349.95 Fits '99-'05 Dyna and '99-'06 Softail models. 60665-99B $349.95 Fits '99-'06 Touring models. Fits '94-'98 Touring models when used with Clutch Cover P/N 60668-99 and Gasket P/N 25416-99C. Cam Covers 25369-01B $174.95 Fits '01-'17 Dyna Softail and '01-'16 Touring and Trike models. (except '01 EFI Touring). 25247-99 $174.95 Fits '99-'00 Dyna '00 Softail '99-'00 Touring and '01 EFI Touring models. Transmission Side Covers 37116-06 $129.95 Fits '06-'17 Dyna (except FXDLS) and '07-'17 Softail (except FLSS FLSTFBS FXCW FXCWC FXSB and FXSE) and '07-'16 Touring and Trike models. Does not fit models equipped with a hydraulic clutch. 37105-99 $227.95 Fits '99-'05 Dyna '00-'06 Softail and '99-'06 Touring models. Transmission Top Covers 34469-06B $149.95 Fits '06-'17 Dyna '07-'17 Softail and '07-'16 Touring and Trike models. 34469-01 Fits '01-'05 Dyna models. $149.95 34469-99B Fits '99-'00 Dyna models. $229.95 34541-00 $229.95 Fits '00-'06 Softail and '01-'06 Touring models. Rocker and Tappet Covers Fits '99-'17 Dyna '00-'17 Softail and '99-'16 Touring and Trike models., Harley Davidson,  , , , Title, Default Title, , , , , 17966-99, ,,,,,97.71,114.95
inner-primary-cover-trim-chrome-(touring-and-trike-shown)-18088-02, INNER PRIMARY COVER TRIM CHROME (TOURING AND TRIKE SHOWN) , INNER PRIMARY COVER TRIM CHROME (TOURING AND TRIKE SHOWN) Softail Touring and Trike Add a finished chrome look to the left side of your Twin Cam engine. This easy-to-install kit includes all necessary mounting hardware. Shaped to fill the gap between the tappet blocks this unique cover adds a splash of chrome to the profile of your engine. The die-cast cover is polished and chrome-plated to a mirror finish. Easy to install., Harley Davidson,  , , , Title, Default Title, , , , , 18088-02, ,,,,,67.96,79.95
inner-primary-cover-trim-chrome-(touring-and-trike-shown)-18248-99, INNER PRIMARY COVER TRIM CHROME (TOURING AND TRIKE SHOWN) , INNER PRIMARY COVER TRIM CHROME (TOURING AND TRIKE SHOWN) Softail Touring and Trike Add a finished chrome look to the left side of your Twin Cam engine. This easy-to-install kit includes all necessary mounting hardware. Shaped to fill the gap between the tappet blocks this unique cover adds a splash of chrome to the profile of your engine. The die-cast cover is polished and chrome-plated to a mirror finish. Easy to install., Harley Davidson,  , , , Title, Default Title, , , , , 18248-99, ,,,,,67.96,79.95
inner-primary-cover-trim-chrome-(touring-and-trike-shown)-18262-00, INNER PRIMARY COVER TRIM CHROME (TOURING AND TRIKE SHOWN) , INNER PRIMARY COVER TRIM CHROME (TOURING AND TRIKE SHOWN) Softail Touring and Trike Add a finished chrome look to the left side of your Twin Cam engine. This easy-to-install kit includes all necessary mounting hardware. Shaped to fill the gap between the tappet blocks this unique cover adds a splash of chrome to the profile of your engine. The die-cast cover is polished and chrome-plated to a mirror finish. Easy to install., Harley Davidson,  , , , Title, Default Title, , , , , 18262-00, ,,,,,67.96,79.95
inner-primary-cover-trim-chrome-(touring-and-trike-shown)-18278-06, INNER PRIMARY COVER TRIM CHROME (TOURING AND TRIKE SHOWN) , INNER PRIMARY COVER TRIM CHROME (TOURING AND TRIKE SHOWN) Softail Touring and Trike Add a finished chrome look to the left side of your Twin Cam engine. This easy-to-install kit includes all necessary mounting hardware. Shaped to fill the gap between the tappet blocks this unique cover adds a splash of chrome to the profile of your engine. The die-cast cover is polished and chrome-plated to a mirror finish. Easy to install., Harley Davidson,  , , , Title, Default Title, , , , , 18278-06, ,,,,,67.96,79.95
screamin'-eagle-premium-tapered-quick-install-adjustable-pushrods-chrome-covers-18572-13, SCREAMIN' EAGLE PREMIUM TAPERED QUICK-INSTALL ADJUSTABLE PUSHRODS CHROME COVERS , SCREAMIN' EAGLE PREMIUM TAPERED QUICK-INSTALL ADJUSTABLE PUSHRODS CHROME COVERS SCREAMIN' EAGLE PREMIUM TAPERED QUICK-INSTALL ADJUSTABLE PUSHRODS GLOSS BLACK COVERS SCREAMIN' EAGLE HIGH-CAPACITY TAPPETS 2 Screamin' Eagle Tappets feature large high capacity needles in the roller bearing assembly to improve reliability when operating with high lift cams high pressure valve springs and in high RPM applications. The 25% larger needle bearings increase the dynamic load rating by approximately 20% when compared to the Original Equipment Twin Cam tappets. The unique design delivers superior tappet life in performance applications. Set of 4. STAGE II SCREAMIN' EAGLE PERFORMANCE II SE-585 CAM KIT SPORTSTER The high-lift full throttle cam kit provides significant horsepower gains when coupled with high-flowing exhaust and intake components and is a great fit for full-throttle horsepower junkies. 50-State U.S. EPA compliant. SCREAMIN' EAGLE HIGH-CAPACITY TAPPETS 2 Screamin' Eagle Tappets feature large high capacity needles in the roller bearing assembly to improve reliability when operating with high lift cams high pressure valve springs and in high RPM applications. The 25% larger needle bearings increase the dynamic load rating by approximately 20% when compared to the Original Equipment Twin Cam tappets. The unique design delivers superior tappet life in performance applications. Set of 4., Harley Davidson,  , , , Title, Default Title, , , , , 18572-13, ,,,,,212.46,249.95
screamin'-eagle-billet-cam-support-plate-2-with-high-volume-oil-pump-a-great-upgrade-for-any-performance-motor.-24017-10, SCREAMIN' EAGLE BILLET CAM SUPPORT PLATE 2 WITH HIGH-VOLUME OIL PUMP A great upgrade for any performance motor.  , SCREAMIN' EAGLE BILLET CAM SUPPORT PLATE WITH HIGH-VOLUME OIL PUMP SCREAMIN' EAGLE HYDRAULIC 2 CAM CHAIN TENSIONER AND HIGH-FLOW OIL PUMP UPGRADE KIT This kit updates the cam chain tensioner of your Twin Cam 88 engine to the latest design as featured on the Twin Cam 96TM engine. The billet cam support plate has been designed to allow the installation of the Twin Cam 96 hydraulic cam chain tensioner to Twin Cam 88-equipped models. These Hydraulic Cam Chain Tensioners will significantly outlast the spring loaded tensioners and are an ideal addition to an engine modified for improved performance. In addition '02-'06 models utilize a Twin Cam 96 single row front roller chain and sprocket (included in kit). '99-'01 models use Original Equipment front silent chain and sprocket to retain the cam position sensor function. The kit includes an improved Screamin' Eagle HighFlow Oil Pump that provides increased oil pressure at highoperating temperatures. This kit increases the oil supply by 23% and scavenging by 50% when compared to the '99-'05 Original Equipment oil pump and reduces operating temperature of bearings to improve bearing life. SCREAMIN' EAGLE HIGH-PERFORMANCE 2 INNER CAM BEARINGS High-performance Inner Cam Bearings are a smart upgrade when installing high-lift cams in a race bike. These bearings provide increased load capacity and extend the engine life in extreme racing conditions. Kit includes two bearings required to complete one Twin Cam engine., Harley Davidson,  , , , Title, Default Title, , , , , 24017-10, ,,,,,16.96,19.95
screamin'-eagle-billet-cam-support-plate-2-with-high-volume-oil-pump-a-great-upgrade-for-any-performance-motor.-24018-10, SCREAMIN' EAGLE BILLET CAM SUPPORT PLATE 2 WITH HIGH-VOLUME OIL PUMP A great upgrade for any performance motor.  , SCREAMIN' EAGLE BILLET CAM SUPPORT PLATE WITH HIGH-VOLUME OIL PUMP SCREAMIN' EAGLE HYDRAULIC 2 CAM CHAIN TENSIONER AND HIGH-FLOW OIL PUMP UPGRADE KIT This kit updates the cam chain tensioner of your Twin Cam 88 engine to the latest design as featured on the Twin Cam 96TM engine. The billet cam support plate has been designed to allow the installation of the Twin Cam 96 hydraulic cam chain tensioner to Twin Cam 88-equipped models. These Hydraulic Cam Chain Tensioners will significantly outlast the spring loaded tensioners and are an ideal addition to an engine modified for improved performance. In addition '02-'06 models utilize a Twin Cam 96 single row front roller chain and sprocket (included in kit). '99-'01 models use Original Equipment front silent chain and sprocket to retain the cam position sensor function. The kit includes an improved Screamin' Eagle HighFlow Oil Pump that provides increased oil pressure at highoperating temperatures. This kit increases the oil supply by 23% and scavenging by 50% when compared to the '99-'05 Original Equipment oil pump and reduces operating temperature of bearings to improve bearing life. SCREAMIN' EAGLE HIGH-PERFORMANCE 2 INNER CAM BEARINGS High-performance Inner Cam Bearings are a smart upgrade when installing high-lift cams in a race bike. These bearings provide increased load capacity and extend the engine life in extreme racing conditions. Kit includes two bearings required to complete one Twin Cam engine., Harley Davidson,  , , , Title, Default Title, , , , , 24018-10, ,,,,,16.96,19.95
screamin'-eagle-variable-pressure-clutch-25001-03, SCREAMIN' EAGLE VARIABLE PRESSURE CLUTCH , SCREAMIN' EAGLE VARIABLE PRESSURE CLUTCH Street legal and/or street compliant statements refer to product meeting 50-State emissions and noise standards in the United States. Notice: The prices appearing in this catalog are the manufacturer's suggested retail prices. Actual retail prices may vary. SCREAMIN' EAGLE, Harley Davidson,  , , , Title, Default Title, , , , , 25001-03, ,,,,,246.46,289.95
harley-davidson-motor-co.-collection-25127-04, HARLEY-DAVIDSON MOTOR CO. COLLECTION , HARLEY-DAVIDSON MOTOR CO. COLLECTION Notice: The prices appearing in this catalog are the manufacturer's suggested retail prices. Actual retail prices may vary. Engine & Transmission Trim THE HARLEY-DAVIDSON GOLD LIVE TO RIDE COLLECTION Live To Ride Ride to Live. It has become the motto of the Harley-Davidson nation accompanying riders over millions of miles of travel. This collection is a tribute to that way of life. 1. 25127-04A Derby Cover. $69.95 Fits '04-later XL and XR models. Includes chrome-plated stainless steel mounting hardware. 2. 32585-90T Timer Cover. $37.95 Fits models with vertical mounting holes. 32581-90TB Timer Cover. (not shown) $37.95 Fits '04-later XL XR and earlier models with horizontal holes on timer cover. Includes chrome-plated stainless steel mounting hardware. 3. 29823-04 Air Cleaner Trim. $44.95 Fits '04-later XL models (except XL1200V) equipped with Original Equipment oval air cleaner. 4. 29328-99 Air Cleaner Trim. $49.95 Fits Evolution 1340 models '99-'08 Dyna '00-'15 Softail (except FLS FLSS FLSTSB and FXS) and '99-'13 Touring and Trike models with Original Equipment air cleaner cover. Also fits models equipped with Screamin' Eagle Round High-Flow Air Cleaner Kits with separate purchase of Rain Sock Kit P/N 28728-10 or Air Cleaner Trim Installation Kit P/N 12400158. E. WILLIE G SKULL COLLECTION Add a little attitude to your ride. Styled to complement Harley-Davidson Skull accessory items the menacing raised skull with black-filled eyes leaps from a field of chrome. The surrounding Harley-Davidson Motorcycles script is the perfect finishing touch. This complete collection of engine covers dresses your bike for a true custom look. 1. 25440-04A Derby Cover. $64.95 Fits '04-later XL and XR models. Includes chrome-plated stainless steel mounting hardware. 2. 32972-04A Timer Cover. $28.95 Fits '04-later XL XR and earlier models with horizontal holes on timer cover. Includes chrome-plated stainless steel mounting hardware. 3. 29416-04 Air Cleaner Trim. $44.95 Fits '04-later XL models (except XL1200V) equipped with Original Equipment oval air cleaner cover. 4. 29417-04 Air Cleaner Trim. $49.95 Fits Evolution 1340 models '99-'08 Dyna '00-'15 Softail (except FLS FLSS FLSTSB and FXS) and '99-'13 Touring and Trike models with Original Equipment air cleaner cover. Also fits models equipped with Screamin' Eagle Round HIgh-Flow Air Cleaner Kits with separate purchase of Rain Sock Kit P/N 28728-10 or Air Cleaner Trim Installation Kit P/N 12400158. F. CLASSIC CHROME COVERS From the design philosophy of less is more we bring you this collection of basic chrome accessories which provides a clean custom look that is guaranteed to turn heads. 1. 34760-04 Derby Cover. $69.95 Fits '04-later XL models. 2. 32584-88TA Timer Cover. $25.95 Fits '04-later XL XR and earlier models with horizontal holes on timer cover. Includes chrome-plated stainless steel mounting hardware. 34761-04A Chain Inspection Cover. (not shown) $24.95 Fits '04-later XL models. G. WRINKLE BLACK DERBY COVERS This simple Derby Cover adds a finishing touch to your blacked-out engine. SPORTSTER TOURING DYNA ENGINE TRIM Derby Timer & Air Cleaner Covers HARLEY-DAVIDSON LIVE TO RIDE COLLECTION GOLD Live To Ride Ride to Live. It has become the motto of the Harley-Davidson nation accompanying riders over millions of miles of travel. This collection is a tribute to that way of life. 1. 25700472 Derby Cover. $74.95 Fits '16-later Touring and Trike and '15-later FLHTCUL and FLHTKL models. Also fits '07-later Touring and Trike models equipped with Narrow-Profile Outer Primary Cover P/N 25700385 or 25700438. 1. 25340-99A Derby Cover. $69.95 Fits '99-'00 Evolution 1340 '99-'17 Dyna '99-later Softail and '99-'15 Touring and Trike models (except FLHTCUL FLHTKL or '07-'15 Touring or Trike models with NarrowProfile Outer Primary Cover P/N 25700385 or 25700438). Installation on '06-'17 Dyna '07-later Softail '07-'15 Touring and Trike models require separate purchase of Gasket P/N 25416-99C. 2. 25127-04A Derby Cover. $69.95 Fits '04-later XL and XR models. Includes chrome-plated stainless steel mounting hardware. 3. 25600067 Timer Cover. $37.95 Fits '17-later Milwaukee-Eight engine-equipped models. 4. 32689-99A Timer Cover. $36.95 Fits '99-'17 Twin Cam-equipped models. Includes chromeplated stainless steel mounting hardware. 5. 32585-90T Timer Cover. $37.95 Fits models with vertical mounting holes. 32581-90TB Timer Cover. (not shown) $37.95 Fits '04-later XL XR and earlier models with horizontal holes on timer cover. Includes chrome-plated stainless steel mounting hardware. 6. 61300656 Air Cleaner Trim. $59.95 Fits '17-later Touring and Trike models with Original Equipment air cleaner cover. Does not fit CVOTM models. 7. 29328-99 Air Cleaner Trim. $49.95 Fits Evolution 1340 models '99-'08 Dyna '00-'15 Softail (except FLS FLSTSB and FXS) and '99-'13 Touring and Trike models with Original Equipment air cleaner cover. Also fits models equipped with Screamin' Eagle Round High-Flow Air Cleaner Kits with separate purchase of Rain Sock Kit P/N 28728-10 or Air Cleaner Trim Installation Kit P/N 12400158. 8. 61400455 Air Cleaner Trim Center Bolt. $59.95 Fits '18-later FLDE FLHC FLHCS FLSL and FXLR models with Original Equipment center bolt air cleaner cover. 9. 61300220 Air Cleaner Trim. $59.95 Fits '16-'17 Softail (except FLSTFBS and FXSE) and '14-'16 Touring and Trike models with Original Equipment air cleaner cover. Does not fit CVOTM models. 10. 29823-04 Air Cleaner Trim. $44.95 Fits '04-later XL models (except XL1200V) with Original Equipment oval air cleaner. 11. 61400025 Transmission End Cover Trim. $31.95 Fits '11-'16 Touring and Trike models equipped with 103CI Twin Cam engine option., Harley Davidson,  , , , Title, Default Title, , , , , 25127-04, ,,,,,59.46,69.95
